ts_code,trade_date,open,high,low,close
300871.SZ,20211022,31.47,31.49,30.4,30.43
300878.SZ,20211022,41.68,41.74,41.2,41.44
300884.SZ,20211022,19.12,19.29,19.05,19.07
300801.SZ,20211022,18.95,20.5,18.71,19.8
300894.SZ,20211022,48.39,52,48,51
300866.SZ,20211022,103.87,105.2,102.01,104.58
300851.SZ,20211022,32.64,32.85,32.15,32.7
300823.SZ,20211022,21.41,21.55,21.34,21.55
300876.SZ,20211022,28.97,29.31,28.91,28.95
300863.SZ,20211022,65.21,67.87,65.01,67.26
300802.SZ,20211022,40.3,40.3,37.39,38.88
300872.SZ,20211022,30.28,30.86,30.2,30.38
300887.SZ,20211022,63.9,65.68,63.4,65
300824.SZ,20211022,17.56,18.98,17.55,18.2
300839.SZ,20211022,17.14,17.14,16,16.2
300829.SZ,20211022,45.84,46.39,44.85,45.68
300898.SZ,20211022,31.85,32.49,31.43,31.93
300900.SZ,20211022,31.88,32.78,31.8,31.88
300850.SZ,20211022,196.9,200.78,191.7,195
300803.SZ,20211022,34.78,34.78,33.91,34.2
300848.SZ,20211022,29.47,29.97,29.1,29.94
300818.SZ,20211022,35.4,36.36,35.1,35.82
300830.SZ,20211022,13.9,14.28,13.26,13.3
300853.SZ,20211022,40.95,42.98,39.89,42.3
300845.SZ,20211022,21.1,21.8,21,21
300832.SZ,20211022,46.76,47.12,45.78,46.01
300849.SZ,20211022,12.1,12.35,12.01,12.1
300805.SZ,20211022,11.1,12.29,11,11.5
300835.SZ,20211022,45.11,45.11,43.78,43.8
300873.SZ,20211022,51.01,51.65,48.71,51.15
300881.SZ,20211022,27.67,27.67,26.43,26.47
300893.SZ,20211022,22.91,23.28,22.23,22.28
300806.SZ,20211022,55.17,55.71,53.77,54.69
300854.SZ,20211022,27.2,27.45,26.53,26.6
300868.SZ,20211022,24.65,24.68,24.27,24.35
300885.SZ,20211022,17.6,17.78,17.5,17.74
300807.SZ,20211022,24.17,24.39,23.36,23.37
300842.SZ,20211022,90.65,91.85,86,87
300841.SZ,20211022,180.8,187.1,179.59,187.1
300861.SZ,20211022,83.98,84.68,81.95,82.38
300847.SZ,20211022,13.77,13.95,13.77,13.8
300852.SZ,20211022,50.27,50.85,49.02,49.25
300808.SZ,20211022,13.85,13.85,13.44,13.44
300859.SZ,20211022,16.9,17.2,16.85,17.13
300899.SZ,20211022,31.4,31.59,31.2,31.45
300819.SZ,20211022,26.35,26.35,24.64,24.77
300846.SZ,20211022,11.25,11.52,11.25,11.35
300826.SZ,20211022,18.51,18.56,18.32,18.35
300888.SZ,20211022,77.78,78.69,77.71,78.04
300869.SZ,20211022,33.62,34.1,33.53,33.62
300809.SZ,20211022,50.32,59.69,49,55.57
300855.SZ,20211022,46.18,46.4,45,45.02
300820.SZ,20211022,72.85,74.75,72.12,72.19
300880.SZ,20211022,25.3,26.17,24.94,25.9
300864.SZ,20211022,45.1,46.08,44.51,44.56
300831.SZ,20211022,14.62,15.23,14.6,14.76
300833.SZ,20211022,64.73,65.1,63.13,63.7
300867.SZ,20211022,28.81,29.08,28.2,28.27
300844.SZ,20211022,62.55,63.6,62.1,63.05
300856.SZ,20211022,39.06,40.8,38.9,40.28
300810.SZ,20211022,21.8,22.06,21.58,21.7
300877.SZ,20211022,24.72,24.81,24.3,24.4
300862.SZ,20211022,31.3,31.45,30.86,30.91
300811.SZ,20211022,83.93,84.68,81.7,81.9
300895.SZ,20211022,38.3,38.58,36.5,36.61
300889.SZ,20211022,18.97,19.11,18.62,18.68
300875.SZ,20211022,63.97,64.47,63.56,63.56
300879.SZ,20211022,18.67,18.87,18.54,18.56
300812.SZ,20211022,20.64,20.85,20.38,20.45
300838.SZ,20211022,17.15,17.15,16.41,16.41
300886.SZ,20211022,24.49,24.49,24,24.01
300865.SZ,20211022,26.2,26.39,25.88,25.89
300892.SZ,20211022,39.92,39.98,37.3,37.48
300813.SZ,20211022,71.74,72.43,69.1,70.93
300814.SZ,20211022,24.98,25.57,24.33,24.33
300828.SZ,20211022,21.39,21.57,20.85,21.17
300821.SZ,20211022,25.44,25.99,24.51,24.54
300822.SZ,20211022,22.8,22.96,22.65,22.72
300837.SZ,20211022,40.67,40.79,40.2,40.65
300827.SZ,20211022,121.55,123.5,113.3,114.24
300897.SZ,20211022,32.33,32.55,32.15,32.16
300815.SZ,20211022,31.3,31.6,30.39,30.5
300860.SZ,20211022,41,41.47,40.71,40.88
300896.SZ,20211022,634.42,635.35,614.01,621
300891.SZ,20211022,17.88,18.29,17.68,17.71
300858.SZ,20211022,26.32,27.31,26.01,26.5
300843.SZ,20211022,23.02,23.22,23,23.06
300857.SZ,20211022,23.72,24.35,23.6,24.21
300816.SZ,20211022,50.05,50.1,49.28,49.93
300840.SZ,20211022,12,12.14,11.79,11.85
300870.SZ,20211022,63.53,64.15,62.11,62.2
300836.SZ,20211022,33.43,33.75,33.31,33.37
300883.SZ,20211022,7.99,8.26,7.96,8.16
300817.SZ,20211022,20.72,20.99,20.57,20.76
300890.SZ,20211022,50.93,51.19,49.64,50.56
300825.SZ,20211022,29.6,30.09,28.83,28.99
300882.SZ,20211022,20.4,22,19.91,21.3
300891.SZ,20211021,17.48,18.35,17.41,18.05
300827.SZ,20211021,114.56,128,111,120.97
300885.SZ,20211021,17.96,17.96,17.45,17.6
300801.SZ,20211021,18.63,19.15,18.48,18.95
300859.SZ,20211021,17.09,17.22,16.98,16.99
300895.SZ,20211021,38.04,38.87,37.68,38.27
300899.SZ,20211021,31.72,32.15,31.21,31.26
